sentence,episode,emotion,emotion_score
"oh, you're a wimp, too?",1,surprise,0.9271800518035889
"man, i hate you!",1,anger,0.7097116708755493
"hey, now! quit dawdling!",1,anger,0.7004349827766418
haul it all off before\nthe navy gets here!,1,anger,0.586654007434845
anyone caught dawdling\ngets a taste of my iron club!,1,anger,0.6786579489707947
--what a haul!\n--seems like a pretty rich ship!,1,joy,0.9617400169372559
hey! you'll get the club\nif she catches you slackin' off!,1,joy,0.8458184003829956
"oh, whoops!",1,surprise,0.984701931476593
"yeah, one hit from\nthat and you're a goner!",1,joy,0.5195842981338501
alvida-sama!,1,joy,0.7713008522987366
it's bad!,1,sadness,0.9311317801475525
what is it?! you're annoying me!,1,surprise,0.5471253395080566
a b-b-barrel!,1,joy,0.7376206517219543
m-m-monster!,1,joy,0.7405670881271362
huh?!,1,surprise,0.9860141277313232
who're you calling a monster?!,1,surprise,0.8502283692359924
n-no... some weird guy\npopped out of a barrel...,1,disgust,0.5744265913963318
he might be...\na bounty hunter...,1,neutral,0.9787946939468384
what?!,1,surprise,0.9884170889854431
yeah... that's right...,1,neutral,0.9814935922622681
if only i had the courage to\ndrift the ocean in a barrel...,1,fear,0.6867605447769165
"...there's actually\nsomething i want to do, too...",1,neutral,0.7727012634277344
"umm... what compelled you\nto set out onto the sea, luffy-san?",1,neutral,0.8803561329841614
i'm gonna be\nthe king of the pirates!,1,joy,0.9269455671310425
--k-k-king of the pirates?!\n--yep.,1,anger,0.7924733757972717
--are you serious?!\n--yeah.,1,surprise,0.8994191288948059
"wait, you're a pirate, luffy-san?!",1,surprise,0.9891141653060913
yep.,1,neutral,0.9282774925231934
what about your crew?!,1,surprise,0.5460442304611206
don't got one.\ni'm just about to look for one.,1,neutral,0.9844078421592712
k-k-king of the pirates is\nthe title given to the person...,1,neutral,0.9612520337104797
...who obtains everything in this world!,1,anger,0.5823702812194824
"that means seeking the great\ntreasure of wealth, fame, and power...",1,neutral,0.8885487914085388
...the one piece!,1,surprise,0.44016823172569275
yup!,1,joy,0.6722400188446045
yup?! pirates all over the\nworld are after that treasure!,1,surprise,0.8217132091522217
me too!,1,joy,0.7848966717720032
"no way! no way, no way, no way!\nabsolutely no way!",1,fear,0.8157688975334167
there's no way you can stand at\nthe apex of this great pirate era!,1,anger,0.751807451248169
no way! no way!,1,surprise,0.5286384224891663
why did you hit me?,1,surprise,0.9650941491127014
just because.,1,neutral,0.9766735434532166
but it's all right.\ni'm used to it now...,1,neutral,0.7196868062019348
it's not about whether i can or not.,1,neutral,0.8834809064865112
i'm gonna do it because i want to.,1,joy,0.782628059387207
"i've decided to be the king of the pirates,",1,neutral,0.4951702058315277
"so if i die fighting for that,\nthat's fine with me!",1,anger,0.818545937538147
"now, then! my belly's full--\nguess i'll go get me a boat!",1,joy,0.9543958306312561
i wonder if they'll give me one if i ask.,1,neutral,0.9809806942939758
hopefully they're generous.,1,neutral,0.9226104617118835
i never once thought about it...,1,neutral,0.9308816194534302
"do you suppose i can do it, too?",1,neutral,0.9520299434661865
if i'm prepared to die for it?,1,neutral,0.833974301815033
do what?,1,neutral,0.8179325461387634
do you think...\neven i could join the navy?,1,neutral,0.9006838202476501
navy?,1,neutral,0.8729079365730286
yes! catching bad guys is my dream!,1,joy,0.9812747836112976
it's been my dream ever since i\nwas little! do you think i can do it?!,1,joy,0.871851921081543
how should i know?,1,neutral,0.7948744297027588
"no! i'll do it! if i'm gonna be a\nchore boy for the rest of my life,",1,joy,0.8965720534324646
"then i'll break out of here and\ncatch even alvida-sama-- no, alvida!",1,anger,0.8178188800811768
you're gonna team up\nwith him to catch who?!,1,surprise,0.4616813659667969
"huh, coby?!",1,surprise,0.8257922530174255
"you don't seem to be zoro, the pirate hunter.",1,neutral,0.9711923599243164
zoro?,1,neutral,0.9159108996391296
coby!,1,joy,0.855311930179596
who's the most beautiful\nof all on these seas?!,1,surprise,0.8300585150718689
o-of course that would be--,1,neutral,0.8996766805648804
who's this big chunky lady?,1,surprise,0.9719807505607605
--chunky?\n--not good...,1,sadness,0.3568013310432434
you runt!,1,anger,0.6700699329376221
let's go!,1,joy,0.8692823052406311
"why, you...",1,surprise,0.5384951233863831
whoops!,1,surprise,0.9847641587257385
it's not fair to attack from behind!,1,anger,0.9899609088897705
it's not fair to attack all at once!,1,anger,0.9879837036132812
gotcha!,1,joy,0.6520870923995972
gum-gum...,1,disgust,0.46438324451446533
...rocket!,1,surprise,0.5175075531005859
what?!,1,surprise,0.9884170889854431
l-luffy-san... what are you?,1,neutral,0.5494343042373657
me?,1,neutral,0.7905155420303345
i'm a rubber person!,1,joy,0.8633373379707336
a rubber person?\nyou can't be serious!,1,anger,0.5084991455078125
"you've eaten a devil's fruit, haven't you?",1,disgust,0.4883734881877899
yeah! the gum-gum fruit!,1,joy,0.9180307388305664
"i see! i'd heard the rumors,\nbut i guess they really do exist!",1,surprise,0.554490327835083
you also seem pretty skilled.\nyou a bounty hunter?,1,neutral,0.7637428641319275
i'm a pirate!,1,joy,0.8647426962852478
a pirate?! hah!\nall by yourself?!,1,surprise,0.585138738155365
"it's just me right now, but i'll\nfind some more sooner or later!",1,neutral,0.3994959592819214
yeah... ten crewmen sounds good to me!,1,joy,0.9786255359649658
"ah, so you're a pirate too, huh?!",1,surprise,0.9775068759918213
"then that means you\nand me are enemies, huh?",1,neutral,0.6859131455421448
--l-luffy-san! let's get out of here!\n--why?,1,surprise,0.4235095977783203
you saw how powerful her club is!,1,joy,0.533889651298523
"in these waters, she's the most--",1,neutral,0.9582008719444275
"i've decided to be\nthe king of the pirates,",1,joy,0.6054743528366089
"so if i die fighting for that,\nthat's fine with me!",1,anger,0.818545937538147
i'm the most what?!,1,surprise,0.8562363982200623
t-t-the...,1,neutral,0.9757605791091919
"the most ugly,\ncragged old hag ever!",1,sadness,0.8101669549942017
what did you say?!,1,surprise,0.8225394487380981
i... i'm going to join the navy!,1,joy,0.990670919418335
and then i'm gonna beat up pirates!,1,joy,0.8079673051834106
do you even know\nwhat you're saying?!,1,surprise,0.471883624792099
i do! i'm gonna do\nwhat i want to do!,1,joy,0.9785923361778259
i'm gonna...\ni'm gonna join the navy...,1,joy,0.9715145826339722
...and catch your lousy ass!,1,anger,0.9421215653419495
you damn pipsqueak!,1,anger,0.766144335269928
no regrets! no regrets!\ni said it! i fought! for my dream!,1,anger,0.5752350091934204
well said!,1,surprise,0.5141979455947876
that doesn't work!,1,anger,0.8303267955780029
what?!,1,surprise,0.9884170889854431
'cause i'm rubber!,1,joy,0.7873730659484863
gum-gum...,1,disgust,0.46438324451446533
...pistol!,1,surprise,0.458897203207016
the sky is so blue...,1,joy,0.8760539293289185
hey!,1,joy,0.674192488193512
--yes?!\n--yes?!,1,surprise,0.9369708299636841
give coby a small boat!,1,anger,0.6192470788955688
he's gonna join the navy!\nkeep your mouths shut and let him go!,1,anger,0.5249043703079224
--r-right!\n--r-right!,1,neutral,0.49637913703918457
luffy-san!,1,joy,0.7881070971488953
it's the navy!,1,joy,0.525466799736023
"oh, perfect timing!\nyou should go see 'em!",1,joy,0.9720972180366516
but i'm a pirate! i'm outta here!,1,anger,0.8691028952598572
get serious!,1,anger,0.9372960925102234
i can't just join the navy like this!,1,joy,0.9853045344352722
i'll be captured instead!,1,anger,0.934659481048584
looks like we managed to get away...,1,neutral,0.8352271318435669
"whew, that was fun!",1,joy,0.9787688851356506
"umm, luffy-san.",1,neutral,0.988554060459137
"if you're heading for the one piece,",1,neutral,0.9733843803405762
"--that means you're going\nto the grand line, right?\n--yeah.",1,neutral,0.9727985262870789
"that place is also referred to\nas a pirate graveyard, you know.",1,neutral,0.9856058955192566
yeah. that's why i need a strong crew.,1,neutral,0.97331702709198
what about that pirate hunter guy?\nwhat's he like?,1,neutral,0.8603150844573975
you mean zoro? i heard he's\nbeing held prisoner at a navy base.,1,surprise,0.7098227143287659
"aw, he's a weakling?",1,surprise,0.9786486029624939
nothing of the sort!\nhe's as terrifying as a demon!,1,fear,0.9858662486076355
why are you asking about him?,1,surprise,0.961087703704834
thought i might have him join\nmy crew if he's a good guy!,1,joy,0.5711628198623657
you're being reckless again!,1,anger,0.9474454522132874
"c'mon, he might be a good guy!",1,joy,0.6130646467208862
he's been caught\nbecause he's a bad guy!,1,anger,0.971685528755188
"no! no way, no way, no way!\nabsolutely no--",1,fear,0.8801117539405823
why did you hit me?,1,surprise,0.9650941491127014
just because!,1,anger,0.6915839314460754
"""to be continued""",1,neutral,0.9869259595870972
"when i was little, i had\na vision of a treasure map",1,neutral,0.5508575439453125
and i always searched\nfor that miraculous place,1,joy,0.6174859404563904
before someone else could\nbeat me to it,1,anger,0.7448309063911438
if the world is going to change,1,fear,0.34924790263175964
before i can even attain my dream,1,neutral,0.312864750623703
then take me to the time\nwhen i knew nothing,1,neutral,0.7025604844093323
so that my memories won't fade,1,neutral,0.8490092754364014
"hey! i'll untie your ropes,\nso join my crew!",1,joy,0.8854252099990845
i refuse to team up with a pirate!,1,anger,0.9920369386672974
"oh, come on. you're already\nknown as an evil bounty hunter.",1,neutral,0.6986016035079956
screw that! i ain't done a single\nthing i regret! and i never will!,1,anger,0.9055438041687012
so i ain't gonna be a pirate!,1,anger,0.7157977223396301
i've decided you're gonna join me!,1,joy,0.9486932754516602
quit deciding on your own!,1,anger,0.9777822494506836
we made it! the navy base city!,2,joy,0.8898437023162842
"seriously, luffy-san!",2,joy,0.7346692681312561
you're crazy to want him to join you!,2,surprise,0.600204586982727
i still haven't decided yet.\ni just wanna see if he's a good guy...,2,neutral,0.9410727024078369
he's been caught\nbecause he's a bad guy!,2,anger,0.971685528755188
mm! yum!,2,joy,0.6431332230567932
do you know if zoro's at the base?,2,neutral,0.9886108040809631
"it would seem the name ""zoro"" is taboo here...",2,neutral,0.8915783166885376
"well, let's check out the base anyway.",2,neutral,0.991736114025116
"you're gonna be a marine, right?",2,neutral,0.9426341652870178
y-yes... but i'm not really ready yet...,2,neutral,0.4998808205127716
rumor has it...,2,neutral,0.9753720164299011
"...a guy named\ncaptain morgan is at this base, and...",2,neutral,0.9712666869163513
what a funny town!,2,joy,0.9666758179664612
it's strange...,2,surprise,0.6296907067298889
"i understand zoro, but why are\nthey afraid of a navy captain's name?",2,neutral,0.8853598237037659
i suddenly feel uneasy about this...,2,fear,0.9823265671730042
you sure they didn't jump just for fun?,2,surprise,0.6723285913467407
nobody would do that!,2,anger,0.581697940826416
alright! this's the place!,2,joy,0.8123292326927185
i'm finally here!,2,joy,0.9716275930404663
"i guess this is where\nwe part ways, luffy-san.",2,neutral,0.9292358756065369
"it was only for a short time, but...",2,neutral,0.9247925281524658
upsy-daisy!,2,joy,0.8160507082939148
luffy-san! what in the world are you doing?!,2,surprise,0.9313567280769348
now where's this demon?!,2,surprise,0.8088736534118652
he wouldn't be out here.,2,neutral,0.9082356691360474
i'm sure he's in\na prison cell or something...,2,neutral,0.9070536494255066
there he is!,2,surprise,0.9133885502815247
alright!,2,joy,0.5318570733070374
see! there he is!,2,surprise,0.5474239587783813
"yeah, right!\nhe wouldn't be out--",2,neutral,0.7770664691925049
a black hood and a haramaki...,2,neutral,0.9785658717155457
that's roronoa zoro!,2,joy,0.8442570567131042
he can get away easy\nif we untie those ropes!,2,joy,0.68536376953125
d-don't be stupid!,2,anger,0.9040238261222839
there's no telling what'll\nhappen if we let him loose!,2,anger,0.3689977824687958
"i bet he'd try to kill you too, luffy-san!",2,joy,0.48243439197540283
don't worry! i'm strong!,2,joy,0.9372788071632385
i can't believe this guy!,2,surprise,0.6947616934776306
"hey, you guys.",2,neutral,0.9620131850242615
you're an eyesore.,2,disgust,0.6691127419471741
get lost!,2,anger,0.9181244969367981
luffy-san! there's no way you\ncould survive with him on your crew!,2,anger,0.6732088923454285
"oh no! stop her, luffy-san!",2,anger,0.5875911116600037
she'll be killed!,2,anger,0.8568931818008423
what?,2,surprise,0.680137574672699
you must be hungry!\ni made you some rice balls!,2,joy,0.8846523761749268
"do you wanna get killed, pipsqueak? scram!",2,anger,0.5227258801460266
you haven't eaten anything this whole time.,2,neutral,0.9429958462715149
"here! this is my first time,",2,surprise,0.607427179813385
but i worked really hard to make them!,2,joy,0.6815338730812073
i ain't hungry!,2,anger,0.46581804752349854
you're an eyesore!\nget the hell outta here!,2,anger,0.9283536076545715
but...,2,neutral,0.9218429923057556
i don't want 'em!\ndon't make me kick your ass!,2,anger,0.9892244935035706
it's not nice to be a bully!,2,anger,0.9506940841674805
"you seem surprisingly well, roronoa zoro...",2,neutral,0.8209481239318848
now there's another weird guy!,2,surprise,0.633574366569519
thank goodness!,2,joy,0.9859678745269775
he must be with the navy!\nnow that girl will be safe!,2,neutral,0.595206081867218
oh? those are some\ntasty-looking rice balls.,2,neutral,0.5208206176757812
stop!,2,anger,0.9473705291748047
too damn sweet!,2,joy,0.9769716858863831
those're full of sugar!,2,surprise,0.818758487701416
you're supposed to use salt for rice balls!,2,disgust,0.5983604788780212
but i thought they\nmight taste better sweet...,2,neutral,0.8993726372718811
--take this! and this!\n--stop! stop!,2,anger,0.9591291546821594
h-how horrible!,2,sadness,0.7250003218650818
and i worked so hard to make those...,2,neutral,0.5401168465614319
did you not read this notice?,2,surprise,0.9654327034950256
"""those who help\ncriminals will be executed!",2,anger,0.9333136081695557
"navy captain morgan""",2,neutral,0.984816312789917
looks like even little brats\nknow how scary my dad is!,2,fear,0.9665624499320984
dad?,2,neutral,0.7855600118637085
then that's captain morgan's son?!,2,surprise,0.9634618759155273
you. throw this kid out.,2,anger,0.9663894176483154
sir?!,2,surprise,0.9869404435157776
i said throw her over the wall!,2,anger,0.7021961808204651
or can you not follow my orders?!\ndon't make me tell my dad!,2,anger,0.9792150259017944
"y-yes, sir! right away!",2,joy,0.7036261558532715
no!,2,anger,0.692405641078949
"i-i'm sorry, little girl.\ncurl yourself into a ball.",2,sadness,0.8862105011940002
t-thanks...,2,neutral,0.9440617561340332
"are you all right, luffy-san?!",2,surprise,0.8959479331970215
are you all right?!,2,surprise,0.9398408532142639
i can't believe how\nhorrible that guy is!,2,fear,0.36594992876052856
do you hurt anywhere?,2,neutral,0.6813271641731262
damn you...,2,neutral,0.41499263048171997
you sure are stubborn about staying alive...,2,neutral,0.9280663728713989
yeah! i will live the full month!,2,joy,0.9403575658798218
"well, good luck with that.",2,neutral,0.9673001766204834
"ten days left, you know!",2,anger,0.59947669506073
assuming you can live that long!,2,joy,0.6955783367156982
"how can he be so cruel, luffy-san?!",2,surprise,0.3793860077857971
he's gone?!,2,surprise,0.9868098497390747
i hear you're a bad guy.,2,disgust,0.43747562170028687
are you still here?,2,neutral,0.9082970023155212
being stuck out here for all to see...,2,sadness,0.5984916090965271
are you really strong at all?!,2,surprise,0.9708884358406067
mind your own business!,2,anger,0.9864438772201538
"if it were me, i'd probably\nstarve to death in three days!",2,sadness,0.7392517924308777
i got more spirit than you.,2,joy,0.5828945636749268
i will live through this...,2,neutral,0.5772818326950073
i swear it!,2,joy,0.8883979320526123
what a strange person!,2,surprise,0.9014767408370972
wait!,2,surprise,0.9349284172058105
could you pick that up for me?,2,neutral,0.9871097803115845
you're gonna eat this?,2,surprise,0.985586404800415
it's mostly a mud ball now.,2,neutral,0.9504881501197815
just shut up and give it here!,2,anger,0.9763269424438477
told you so.,2,neutral,0.9851886034011841
it was good.,2,joy,0.9100427031517029
thanks for the food.,2,neutral,0.876373827457428
really?!,2,surprise,0.9924827218055725
yeah! he ate every last bite!,2,joy,0.6047097444534302
i'm so happy!,2,joy,0.9938461184501648
is zoro really as evil\nas the rumors say?,2,neutral,0.8953208923339844
no!,2,anger,0.692405641078949
"after all, he let himself\nget crucified in our place...",2,disgust,0.7090235352516174
huh? what do you mean?,2,surprise,0.8171124458312988
it's all that helmeppo's fault.,2,neutral,0.5090469717979431
he's captain morgan's son...,2,neutral,0.9561265707015991
outta the way!,2,anger,0.838479220867157
make way for my adorable pet-sama!,2,joy,0.860908031463623
"get in the way, and you get executed!",2,joy,0.525648832321167
no! stop that!,2,anger,0.9351731538772583
"hey, you!",2,surprise,0.5428775548934937
you gonna complain about\nwhat my pet-sama's doin'?!,2,anger,0.9745523929595947
rika! stop that!,2,anger,0.9371209144592285
we'll get in trouble\nif we go against him!,2,fear,0.7559828758239746
"--oh, crap!\n--he's in trouble now!",2,fear,0.7412600517272949
who the hell are you?!,2,surprise,0.9102871417999268
don't tell me you're...,2,neutral,0.5162336230278015
...pirate hunter zoro?,2,neutral,0.7845913767814636
and if i am?,2,neutral,0.9609790444374084
why is a pirate hunter defying the navy?!,2,surprise,0.6205223202705383
just shut up and let me eat in peace!,2,anger,0.9390739798545837
"why, you...",2,surprise,0.5384951233863831
you're annoying me.\nboth you and your pet-sama!,2,anger,0.9274560213088989
"you do realize that if my\ndad finds out about this,",2,neutral,0.949942409992218
they're gonna get\nexecuted for sure!,2,neutral,0.5392846465110779
whadya say? let's make a deal!,2,joy,0.49419817328453064
you get strung up in place\nof this mother and daughter!,2,anger,0.9521501064300537
"for, yeah, one month...",2,neutral,0.8728362917900085
"if you can survive for one month,",2,neutral,0.9539903402328491
"i'll let you live, too.",2,neutral,0.8969201445579529
whadya say?,2,neutral,0.9754898548126221
one month.,2,neutral,0.81341552734375
it's been three weeks since then.,2,neutral,0.7666032910346985
helmeppo punches and\nkicks him while he's tied up!,2,anger,0.7959179282188416
i... i...,2,neutral,0.8995355367660522
i see...,2,neutral,0.9859015941619873
i'm hungry!\nlet us all eat for free!,2,joy,0.7591599225997925
hey! bring me some booze!,2,joy,0.8997779488563538
quit dawdling! hurry it up!,2,joy,0.7297939658164978
"oh, yes.",2,neutral,0.9781705737113953
"i've been bored lately,",2,sadness,0.7760525941848755
so i've decided\nto execute zoro tomorrow.,2,neutral,0.8316025137901306
look forward to it!,2,joy,0.9032989740371704
w-what the hell're you doing?!,2,surprise,0.8840686082839966
luffy-san! please stop!,2,anger,0.9402351975440979
this guy is scum!,2,disgust,0.9611719250679016
y-you hit me!,2,surprise,0.3711705207824707
"i'm captain morgan's son, you know!",2,joy,0.9013177156448364
so what?!,2,surprise,0.9706253409385681
i'm gonna tell my dad\nand he's gonna execute you!,2,joy,0.9790493249893188
fight me yourself!,2,anger,0.9211356043815613
luffy-san! calm down!,2,anger,0.6573971509933472
are you trying to get\non the navy's bad side?!,2,anger,0.7964293360710144
"i've made up my mind, coby!",2,joy,0.6733693480491638
i'm... going to have zoro join my crew!,2,joy,0.9805804491043091
i am...,2,neutral,0.9590917825698853
great!,2,joy,0.9831159710884094
"yes! you're exactly right,\ncaptain morgan, sir!",2,joy,0.8745573163032532
but hasn't tribute to me\nbeen a bit lacking lately?,2,neutral,0.4811755120754242
"w-well, the citizens'\nwallets do have their limits...",2,neutral,0.9599253535270691
the issue is the level of respect for me.,2,neutral,0.777690052986145
wouldn't you agree?,2,neutral,0.8241572380065918
dad!,2,surprise,0.46841880679130554
there's someone i want you to slaughter!,2,anger,0.9683074355125427
"you're still as weak as ever, zoro!",2,neutral,0.6261204481124878
i promised her...,2,neutral,0.9760239720344543
i can't afford to die\nin a place like this!,2,joy,0.9059399366378784
you again?\nyou sure have lots of free time.,2,neutral,0.4358316659927368
"i'll untie you, so join my crew!",2,joy,0.7671368718147278
say what?!,2,surprise,0.9504839181900024
i'm looking for people\nto join my pirate crew.,2,joy,0.5146996378898621
"forget it!\nme, stooping to a criminal's level?!",2,anger,0.9829100966453552
screw that!,2,anger,0.7819225788116455
what's wrong with being a pirate?!,2,surprise,0.8372105956077576
pirates are despicable!\nas if i'd wanna be one!,2,disgust,0.9330956935882568
"oh, come on!",2,joy,0.31088510155677795
you're already known\nas an evil bounty hunter!,2,anger,0.608163058757782
"people can say whatever they want,",2,neutral,0.9356819987297058
but i ain't done anything i regret.,2,sadness,0.8837748765945435
i will live through this\nand accomplish what i want!,2,joy,0.965976893901825
yeah?,2,neutral,0.8034515380859375
but i've decided you're gonna join me!,2,joy,0.9199356436729431
quit deciding on your own!,2,anger,0.9777822494506836
i hear you use swords.,2,neutral,0.8690900802612305
yeah. but that stupid son took my stuff...,2,anger,0.7910335659980774
--i'll go get it back for you!\n--what?!,2,anger,0.402748703956604
"so if you want your sword, join my crew!",2,joy,0.5068840384483337
you're really getting on my nerves!,2,anger,0.8878518342971802
is he planning to bust\ninto the base by himself?!,2,surprise,0.5515574812889099
you idiot! the base is\nin the other direction!,2,anger,0.9241690635681152
gum-gum rocket!,2,joy,0.5301311612129211
w-who the hell is that guy?!,2,surprise,0.8550998568534851
alright! stop there!,2,anger,0.9112185835838318
stand it up in one shot!,2,anger,0.7155942916870117
dad! why aren't you\ngoing to get revenge?!,2,anger,0.923860490322113
the guy hit me!,2,surprise,0.6192076802253723
not even you've ever hit me in the face!,2,anger,0.9274020791053772
do you know why i've never hit you before?,2,surprise,0.8649333715438843
eh? because you think i'm--,2,surprise,0.8078874349594116
yes. because you're...,2,neutral,0.9884220957756042
...a stupid son who\nisn't even worth hitting!,2,anger,0.5698822140693665
don't get the wrong idea!,2,anger,0.9365993142127991
your dad is the one who's great! me!,2,joy,0.942131519317627
"which reminds me, i hear a rat\nsnuck into the crucifixion yard.",2,disgust,0.9047608375549316
"i-i-if you mean that pipsqueak,\ni made sure she was dealt with--",2,neutral,0.8370048999786377
"you killed her, i hope?!",2,anger,0.741873025894165
"n-no! i mean, she was just a little kid...",2,neutral,0.6846743226051331
"you, there!",2,surprise,0.6997904777526855
go into town and exterminate her!,2,anger,0.7934039235115051
y-you can't be serious!\nshe's just a little girl!,2,anger,0.6884328722953796
i can't in good conscience...,2,anger,0.5827232599258423
"anyone who disobeys my\norders is a traitor, even little brats.",2,anger,0.6118461489677429
b-but... i can't do it!,2,anger,0.6296417713165283
lieutenant!,2,joy,0.5299962759017944
y-you didn't have to go that far!,2,surprise,0.7008500099182129
it was with my strength that\ni rose to my rank of captain!,2,joy,0.8770458102226257
"listen! in this world,\ntitles mean everything!",2,joy,0.9657130241394043
"that means that i, the captain and\nhighest ranking officer at this base,",2,neutral,0.9760412573814392
am the most superior person here!,2,joy,0.9350302219390869
