sentence,episode,matched_name,cleaned_sentence
battleships are coming to attack! get outta enies lobby! they're gonna start shooting! everyone get off the island! we're gonna get caught in the buster call! if we stay here we're gonna die!,297,marine,battleship come attack outta enies lobby start shoot island catch buster stay die
just up there is luffy...,297,nico robin,luffy
he's back to normal... doesn't look like he's dead. and his nakama didn't even know how to deal with him... don't you wanna save nico robin?!,297,franky,normal look like dead nakama know deal wan save nico robin
i want to!,297,tony tony chopper,want
"whatever, you did take out one of cp9. even if you did hurt me, i'll forgive you for your nakama's sake. time to get going. no... even if i hurry, how do i get to the gate of justice...?",297,franky,cp9 hurt forgive nakama sake time hurry gate justice
you guys!,297,franky,
"what, you know a tunnel that goes to the gate of justice?",297,franky,know tunnel gate justice
show me where it is quick! then i can tell you two and kokoro what you need to do.,297,franky,quick tell kokoro need
"don't do that, you hag! are you even okay?! no! i've gotta go on ahead and get these keys to nico robin! you guys grab the deer and follow me!",297,franky,hag okay ahead key nico robin grab deer follow
"so, that's the only way to stop chopper. now, you take the number three and four keys, and hurry to robin one of these might open robin's handcuffs. if one works, call me on this little denden-mushi the secretary had.",297,nami,way stop chopper number key hurry robin open robin handcuff work little dendenmushi secretary
got it.,297,franky,
i'll go and save zoro and hanaking!,297,nami,save zoro hanaking
"sounds fine, but then what? even if we save nico robin, there's no bridge connecting this tower to enies lobby. we won't be able to get back!",297,franky,sound fine save nico robin bridge connect tower enies lobby able
"yeah... with the buster call coming, we won't even have time to go back.",297,nami,yeah buster come time
so...,297,franky,
"so we know what we have to do! behind us is the ""waterfall of death"", in front of us is the ""path of mystery."" which would you pick?",297,nami,know waterfall death path mystery pick
"the front, of course.",297,franky,course
"so after we're all done in the tower, everyone will go to the gate of justice! and after that, just leave it...",297,nami,tower gate justice leave
to you?,297,franky,
to luck!,297,nami,luck
to luck?!,297,franky,luck
"yes, you all have! at a time like this, how could you two just fool around?!",297,nami,yes time like fool
both of you are idiots! now hurry up and get those keys!,297,nami,idiots hurry key
"nice job following my orders, zoro-kun!",297,usopp,nice job follow order zorokun
"fight, zoro!",297,nami,fight zoro
you guys fight too! that long neck... is your weak spot!,297,roronoa zoro,fight long neck weak spot
"w-what? just being nearby, there was that big of a shockwave?",297,usopp,wwhat nearby big shockwave
he made a square hole in the rock! that nose is even more impressive than sogepp's!,297,nami,make square hole rock nose impressive sogepp
w-who the hell is sogepp?! and stop the stupid comparisons!,297,usopp,wwho hell sogepp stop stupid comparison
w-wolf! i-i'll be your opponent!,297,usopp,wwolf opponent
"y-yeah, i'm gonna take your key!",297,usopp,yyeah key
what are you...,297,usopp,
th-then... i'll take the key...,297,usopp,ththen key
no! look out!,297,nami,look
usopp!,297,nami,usopp
d-dammit... what... am i doing?,297,usopp,ddammit
don't make fun of me... i don't have that kinda time anymore... new weapon kabuto hissatsu himawari boshi!,297,usopp,make fun kinda time anymore new weapon kabuto hissatsu himawari boshi
stop!,297,nami,stop
"oi, let him go! damn wolf!",297,roronoa zoro,damn wolf
don't kill him! please! we don't need your key!,297,nami,kill need key
shit...!,297,roronoa zoro,shit
the hunter.,297,sanji,hunter
sanji-kun!,297,nami,sanjikun
sanji...,297,usopp,sanji
how did you turn back to normal?,297,nami,turn normal
"a bathtub fell down, and i was cured. it was probably from the water... but more importantly, nami-san... did you fall in love with me all over again?",297,sanji,bathtub fell cure probably water importantly namisan fall love
i wish the bathtub had hit you... hanapp!,297,nami,wish bathtub hit hanapp
"now my name's nothing like sogeking? i-i'm sorry, sanji-kun... i... i should...",297,usopp,like sogeking sorry sanjikun
"as long as you're alive, it's fine. everyone has things they can and can't do.",297,sanji,long alive fine thing
"you two, look outside.",297,sanji,look outside
no... the gate of justice... is opening. robin...,297,nami,gate justice open robin
"if that gate opens and robin-chan goes through it... we can't cross the sea through it because of the sea king nests, and past that is the undersea prison and the marine headquarters. robin-chan will be completely taken away from us.",297,sanji,gate open robinchan cross sea sea king nest past undersea prison marine headquarters robinchan completely away
no... luffy didn't make it in time?,297,nami,luffy make time
"shit, i can't hit! and robin's waiting for me...",297,monkey d. luffy,shit hit robin wait
give it up. you'll never see her again. you won't be going past here.,297,rob lucci,past
gomu gomu no gatling!,297,monkey d. luffy,gomu gomu gatling
that isn't going to work.,297,rob lucci,work
"can i make it? the number three and four keys... if one of them opens nico robin's handcuffs that'd be great... but for now, i have to stop them!",297,franky,make number key open nico robin handcuff great stop
"of course. no, i'm fine with you.",297,roronoa zoro,course fine
"hurry! oi, let me on! you can't! the sea train's completely full! get another ship ready!",297,marine,hurry sea train completely ship ready
"ten battleships have set off towards the island of justice, enies lobby!",297,marine,battleship set island justice enies lobby
"the situation... is the worst imaginable. but even in this bad situation, there's gotta be a chance hiding somewhere.",297,sanji,situation bad imaginable bad situation chance hiding
leave this guy's key to me.,297,sanji,leave key
"i'll do what you can't do, you do what i can't do. think carefully! read the situation. if you're here... there's gotta be a way robin-chan can be saved! usopp!",297,sanji,think carefully read situation way robinchan save usopp
i want to live!,297,nico robin,want live
what i... can do?,297,usopp,
"oi, be careful of what you say!",297,sanji,careful say
don't kill him! please! we don't need your key!,298,nami,kill need key
the hunter.,298,sanji,hunter
"i-i'm sorry, sanji-kun... i... i should...",298,usopp,sorry sanjikun
"as long as you're alive, it's fine. everyone has things they can and can't do.",298,sanji,long alive fine thing
sanji...,298,usopp,sanji
"you two, look outside.",298,sanji,look outside
no... the gate of justice... is opening. robin...,298,nami,gate justice open robin
"if that gate opens and robin-chan goes through it... we can't cross the sea through it because of the sea king nests, and past that is the undersea prison and the marine headquarters. robin-chan will be completely taken away from us.",298,sanji,gate open robinchan cross sea sea king nest past undersea prison marine headquarters robinchan completely away
no... luffy didn't make it in time?,298,nami,luffy make time
just up there is luffy...,298,nico robin,luffy
leave this guy's key to me.,298,sanji,leave key
"i'll do what you can't do, you do what i can't do. think carefully! read the situation. if you're here... there's gotta be a way robin-chan can be saved! usopp!",298,sanji,think carefully read situation way robinchan save usopp
i want to live!,298,nico robin,want live
what i... can do?,298,usopp,
if i'm here... we can save robin? what? what do you mean?,298,usopp,save robin mean
go!,298,sanji,
y-yeah! usopp!,298,nami,yyeah usopp
o-ow! my wounds...,298,usopp,oow wound
just put up with it! isn't this better than getting killed?,298,nami,good kill
you're right!,298,usopp,
"oh, i've got it!",298,usopp,
what?,298,nami,
"we can... if i'm here, we can save robin! dammit!",298,usopp,save robin dammit
"""dammit?"" can't you do this without getting worked up?",298,nami,dammit work
"let's hurry, nami-kun!",298,usopp,hurry namikun
wait a second!,298,nami,wait second
"i've got it, i've got it!",298,usopp,
"hey, be quiet! you'll make the wolf come after us!",298,nami,hey quiet make wolf come
troisième haché!,298,sanji,troisième haché
that power where you guys turn to steel is pretty bad...,298,sanji,power turn steel pretty bad
bas côtes!,298,sanji,côtes
longé!,298,sanji,longé
tendron!,298,sanji,tendron
flanchet!,298,sanji,flanchet
quasi!,298,sanji,quasi
queue!,298,sanji,queue
cuisseau!,298,sanji,cuisseau
jarret!,298,sanji,jarret
veau shot!,298,sanji,veau shot
shut up already! deuxième haché!,298,sanji,shut deuxième haché
"it looks like it hurt, but it didn't? how is it?",298,sanji,look like hurt
what are you talking about?,298,sanji,talk
"what? really? i didn't know, she's never mentioned it before...",298,sanji,really know mention
"yosh, just leave it to me! i'll take this key and go save... like i'd believe that, rouga! robin-chan is your sister? idiot, tell a more believable lie!",298,sanji,yosh leave key save like believe rouga robinchan sister idiot tell believable lie
"you should understand now. no matter what you do, you won't be able to go through that door.",298,rob lucci,understand matter able door
"no. i don't care what i have to do, i'm going through!",298,monkey d. luffy,care
it seems we don't agree. it doesn't matter what you do.,298,rob lucci,agree matter
i don't have time for this... gomu gomu no gatling! stamp! muchi!,298,monkey d. luffy,time gomu gomu gatling stamp muchi
yari!,298,monkey d. luffy,yari
"did i finally hurt you, ookami-kun?",298,sanji,finally hurt ookamikun
you did give it to me.,298,sanji,
you still don't get it?,298,sanji,
bye!,298,sanji,bye
party table...,298,sanji,party table
cuisseau shoot! brochette!,298,sanji,cuisseau shoot brochette
he sliced the air?!,298,sanji,slice air
i don't intend to run... i don't intend to be killed... i don't intend to forgive you.,298,sanji,intend run intend kill intend forgive
